epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0121,0.72228,1.18382,1.01141,0.85972,0.79934,0.84618,0.70546,0.65931,0.66258,0.91811,0.00331606,0.00331606,0.00331606
2,104.416,0.70298,0.63614,0.95626,0.85516,0.83445,0.85587,0.71042,0.6684,0.74738,0.91251,0.00664899,0.00664899,0.00664899
3,155.495,0.77362,0.71389,0.98246,0.72904,0.65533,0.71222,0.55298,0.87148,1.1745,1.02206,0.00998029,0.00998029,0.00998029
4,202.427,0.82481,0.77328,1.0087,0.76816,0.68852,0.72462,0.57972,0.80454,0.96214,1.00273,0.0099945,0.0099945,0.0099945
5,254.672,0.79128,0.71775,0.99508,0.82715,0.74797,0.79699,0.64437,0.76635,0.80372,0.96549,0.00999023,0.00999023,0.00999023
6,301.843,0.74807,0.65832,0.97685,0.85614,0.79205,0.84924,0.70891,0.68402,0.69005,0.9268,0.00998474,0.00998474,0.00998474
7,354.096,0.72919,0.6384,0.96967,0.86478,0.82423,0.86129,0.71672,0.67018,0.64487,0.92097,0.00997803,0.00997803,0.00997803
8,401.675,0.70838,0.60939,0.96129,0.8653,0.86257,0.88522,0.74608,0.63805,0.55139,0.91174,0.00997011,0.00997011,0.00997011
9,453.887,0.69093,0.59047,0.95225,0.85822,0.78544,0.84579,0.69987,0.69194,0.70581,0.93428,0.00996097,0.00996097,0.00996097
10,499.88,0.68674,0.58317,0.95219,0.87037,0.83546,0.86944,0.74091,0.62851,0.58847,0.90995,0.00995062,0.00995062,0.00995062
11,552.049,0.6731,0.56535,0.94911,0.90719,0.83507,0.89626,0.76033,0.61612,0.52084,0.90472,0.00993906,0.00993906,0.00993906
12,596.601,0.66043,0.55526,0.94162,0.88729,0.86904,0.90502,0.77197,0.60258,0.49917,0.89572,0.00992629,0.00992629,0.00992629
13,649.227,0.65586,0.54369,0.93922,0.88289,0.82399,0.88271,0.75443,0.6103,0.59305,0.90444,0.00991232,0.00991232,0.00991232
14,693.295,0.64917,0.54018,0.93764,0.86585,0.85656,0.8895,0.75691,0.59137,0.51645,0.8906,0.00989715,0.00989715,0.00989715
15,747.098,0.64206,0.53449,0.93442,0.91093,0.86855,0.91121,0.78149,0.58464,0.46704,0.89781,0.00988079,0.00988079,0.00988079
16,791.489,0.63701,0.5243,0.9332,0.89806,0.87103,0.91352,0.78083,0.57673,0.47742,0.8848,0.00986323,0.00986323,0.00986323
17,844.249,0.63193,0.51947,0.93132,0.90527,0.86819,0.91062,0.78,0.57709,0.46268,0.88303,0.00984449,0.00984449,0.00984449
18,887.772,0.62785,0.51425,0.92777,0.89192,0.88448,0.91846,0.78611,0.57102,0.45808,0.88264,0.00982456,0.00982456,0.00982456
19,942.187,0.6183,0.50917,0.9234,0.89794,0.8905,0.91412,0.78946,0.55921,0.45027,0.88072,0.00980345,0.00980345,0.00980345
20,985.367,0.61969,0.50432,0.92505,0.90319,0.88176,0.91453,0.78831,0.56983,0.45093,0.88101,0.00978118,0.00978118,0.00978118
21,1040.14,0.6107,0.49574,0.9183,0.90106,0.88825,0.91789,0.79605,0.5539,0.43609,0.88029,0.00975773,0.00975773,0.00975773
22,1083.27,0.6115,0.49363,0.92237,0.90991,0.87351,0.91701,0.79604,0.54934,0.4365,0.87373,0.00973312,0.00973312,0.00973312
23,1137.18,0.60662,0.49169,0.92037,0.89063,0.89663,0.92158,0.79929,0.55429,0.43485,0.88033,0.00970736,0.00970736,0.00970736
24,1180.8,0.60254,0.48965,0.91854,0.88804,0.90196,0.92229,0.80073,0.5478,0.42612,0.87451,0.00968045,0.00968045,0.00968045
25,1235.13,0.59696,0.48061,0.91581,0.90873,0.88997,0.92655,0.80871,0.53535,0.41446,0.86632,0.00965239,0.00965239,0.00965239
26,1280,0.59889,0.47873,0.91498,0.89217,0.90324,0.92572,0.80372,0.52931,0.40516,0.86755,0.0096232,0.0096232,0.0096232
27,1333.52,0.59493,0.47633,0.91493,0.90103,0.89089,0.92007,0.80054,0.53585,0.42697,0.86768,0.00959289,0.00959289,0.00959289
28,1380.17,0.58858,0.47034,0.91183,0.91398,0.89208,0.9277,0.80691,0.53579,0.40586,0.87323,0.00956145,0.00956145,0.00956145
29,1432.5,0.58651,0.47023,0.91296,0.91216,0.892,0.92787,0.81194,0.51997,0.3976,0.86738,0.00952889,0.00952889,0.00952889
30,1479.46,0.58597,0.47055,0.91147,0.89748,0.90614,0.9283,0.8117,0.52111,0.39586,0.86693,0.00949524,0.00949524,0.00949524
31,1529.78,0.58449,0.46544,0.91238,0.91034,0.89507,0.92877,0.81223,0.5167,0.39764,0.86592,0.00946048,0.00946048,0.00946048
32,1577.39,0.58174,0.46306,0.90977,0.91197,0.89435,0.92979,0.81601,0.51005,0.39303,0.86369,0.00942464,0.00942464,0.00942464
33,1626.42,0.58212,0.46071,0.91161,0.90714,0.89785,0.92796,0.81242,0.51572,0.39758,0.8637,0.00938772,0.00938772,0.00938772
34,1674.54,0.57439,0.45905,0.90748,0.91574,0.8921,0.93065,0.81636,0.50846,0.38508,0.86355,0.00934973,0.00934973,0.00934973
35,1724.11,0.57279,0.45482,0.90858,0.90922,0.90516,0.93111,0.81526,0.50877,0.38548,0.86145,0.00931067,0.00931067,0.00931067
36,1774.33,0.5699,0.45228,0.90521,0.90821,0.8977,0.93128,0.81722,0.50737,0.37733,0.86051,0.00927057,0.00927057,0.00927057
37,1822.95,0.57113,0.4543,0.90729,0.9081,0.90475,0.93193,0.82106,0.50055,0.37376,0.85711,0.00922942,0.00922942,0.00922942
38,1872.97,0.56703,0.44485,0.90196,0.90251,0.91177,0.93362,0.8193,0.49854,0.37647,0.85741,0.00918725,0.00918725,0.00918725
39,1920.5,0.56532,0.44804,0.90529,0.90633,0.90642,0.93247,0.8189,0.49876,0.37647,0.85896,0.00914405,0.00914405,0.00914405
